area_type,location,total_sqft,size,bath,balcony,price
Built-up  Area,Shampura,1400,3,3,1,70
Plot  Area,Anjanapura,600,1,2,0,55
Built-up  Area,Nagarbhavi,710,1,2,2,40
Super built-up  Area,Electronic City,1500,3,2,1,78.25
Super built-up  Area,Thigalarapalya,3122,4,6,2,237
Super built-up  Area,Akshaya Nagar,2061,3,3,3,175
Plot  Area,Brookefield,2400,5,5,2,325
Super built-up  Area,Hebbal,1255,3,2,1,95
Super built-up  Area,Malleshwaram,2425,7,7,3,140
Super built-up  Area,Electronic City Phase II,1031,2,2,1,55
Super built-up  Area,Balagere,1210,2,2,1,74
Super built-up  Area,Anjanapura,950,2,2,1,40
Plot  Area,Nagaraja Garden,1376,4,4,1,156
Super built-up  Area,Hosa Road,1161,2,2,1,55.15
Super built-up  Area,Raja Rajeshwari Nagar,1303,2,2,2,44.17
Super built-up  Area,Thigalarapalya,1418,2,2,2,105
Plot  Area,Kengeri Satellite Town,1200,2,2,1,65
Super built-up  Area,Basavangudi,1825,3,3,1,175
Built-up  Area,Bannerghatta Road,1015,2,2,0,48
Carpet  Area,Mathikere,1150,3,2,0,60
Super built-up  Area,Singasandra,1010,2,2,1,40
Super built-up  Area,Reliaable Tranquil Layout,1508,3,3,1,75
Super built-up  Area,7th Phase JP Nagar,1275,2,2,1,87
Built-up  Area,7th Phase JP Nagar,1460,3,3,1,70
Super built-up  Area,Old Airport Road,946,2,2,2,58
Super built-up  Area,Vignana Nagar,1110,2,2,2,58
Super built-up  Area,Hennur Road,1832,3,3,1,125
Super built-up  Area,Hebbal,1088,2,2,2,61.45
Super built-up  Area,Thanisandra,1564,3,3,1,104
Super built-up  Area,Kadugodi,1030,2,2,1,35.02
Super built-up  Area,9th Phase JP Nagar,660,2,2,0,27
Super built-up  Area,Sarjapur  Road,1700,3,3,1,95
Plot  Area,BTM 1st Stage,1100,4,5,2,121
Super built-up  Area,Panathur,1205,2,2,2,62.9
Super built-up  Area,Lottegolla Halli,1950,3,3,2,90
Super built-up  Area,Devanahalli Int. Airport,1080,2,2,1,62
Built-up  Area,Ardendale,2800,4,4,1,140
Super built-up  Area,Mailasandra,999,2,2,1,43.66
Plot  Area,Basvasamithi Layout Vidyaranyapura,900,4,4,3,175
Super built-up  Area,Kanakpura Road,1300,2,2,1,89.76
Super built-up  Area,HRBR Layout,1265,2,2,1,78
Built-up  Area,Attibele,1200,2,2,2,42
Super built-up  Area,Bhoganhalli,1974,4,4,0,106
Super built-up  Area,Chelekare,1180,2,2,2,40
Super built-up  Area,Amruthahalli,1350,3,2,3,63
Super built-up  Area,Kodichikkanahalli,1560,3,2,2,65
Plot  Area,8th Block Jayanagar,2800,2,2,0,650
Super built-up  Area,Hosakerehalli,1085,2,2,1,41.23
Super built-up  Area,Vijayanagar,1300,3,2,2,75
Super built-up  Area,Marathahalli,1600,3,3,2,56
Super built-up  Area,Atmananda Colony,1127,2,2,2,55
Super built-up  Area,Kengeri Satellite Town,795,2,2,2,32
Super built-up  Area,Nagarbhavi,1850,3,3,2,88
Built-up  Area,Bommasandra Industrial Area,1020,2,2,1,29.45
Built-up  Area,Doopanahalli,1475,3,2,1,200
Plot  Area,Baba Nagar,1200,3,3,3,96.25
Super built-up  Area,Uttarahalli,1345,3,2,1,47
Super built-up  Area,Kaikondrahalli,849,2,2,1,25.4
Super built-up  Area,Kanakpura Road,1706,3,3,2,135
Super built-up  Area,Yelahanka,2100,4,4,1,180
Super built-up  Area,Nagadevanahalli,1250,3,2,2,65
Built-up  Area,Kanakpura Road,1260,3,3,3,63.58
Super built-up  Area,Horamavu Agara,1265,3,2,1,65
Super built-up  Area,Abbigere,1260,3,2,1,45
Super built-up  Area,Jalahalli,1045,2,2,1,58
Super built-up  Area,Hebbal Kempapura,3895,4,4,2,495
Super built-up  Area, Rachenahalli,413,1,1,0,19.8
Super built-up  Area,Bellandur,1100,2,2,3,62
Super built-up  Area,Kudlu Gate,1113,2,2,1,50
Super built-up  Area,Old Airport Road,2774,4,4,3,208
Built-up  Area,Varthur,1210,2,2,1,60
Super built-up  Area,Kogilu,700,1,1,1,30.84
Super built-up  Area,Kanakpura Road,1155,2,2,1,55.5
Super built-up  Area,Hoodi,1132,2,2,1,89
Super built-up  Area,Hennur Road,1359,2,2,2,104
Super built-up  Area,Byatarayanapura,2631,4,3,1,200
Super built-up  Area,Kothanur,1145,2,2,2,56
Built-up  Area,5th Phase JP Nagar,600,1,1,1,30
Plot  Area,Laggere,1200,1,1,1,125
Built-up  Area,Mahalakshmi Puram,830,2,2,1,60
Super built-up  Area,HSR Layout,1009,2,2,2,56
Super built-up  Area,Basavangudi,1800,3,3,2,195
Super built-up  Area,Yelahanka,1226,2,2,2,52.71
Super built-up  Area,Badrappa Layout,1500,2,2,2,88
Super built-up  Area,Electronic City,1363,2,2,1,79
Built-up  Area,Poorna Pragna Layout,1400,3,2,1,240
Built-up  Area,Bommasandra Industrial Area,1165,2,2,1,33.64
Built-up  Area,HSR Layout,2792,4,4,1,220
Built-up  Area,Kammanahalli,700,1,1,0,59
Super built-up  Area,Kaval Byrasandra,1060,2,2,2,42
Built-up  Area,Marathahalli,1200,2,2,1,67
Built-up  Area,"Off Sarjapur Road, ",1518,3,3,2,76
Built-up  Area,Nagappa Reddy Layout,1495,3,2,2,75
Built-up  Area,Sanjay nagar,1575,2,2,2,90
Built-up  Area,Rajaji Nagar,1440,2,2,2,170
Super built-up  Area,Kasavanhalli,1545,3,3,1,69
Built-up  Area,Kengeri,1470,3,3,3,50
Super built-up  Area,Cooke Town,1500,3,3,3,95
Built-up  Area,BTM Layout,1450,3,2,2,81
Super built-up  Area,Hosur Road,1179,2,2,1,49
Super built-up  Area,7th Phase JP Nagar,1650,3,3,2,110
Super built-up  Area,Chandapura,1095,3,2,2,32
Built-up  Area,Lal Bahadur Shastri Nagar,856,2,2,1,48
Super built-up  Area,Naganathapura,1143,2,2,1,62
Super built-up  Area,Hebbal,1349,2,2,1,97.8
Built-up  Area,Anjanapura,1280,3,2,2,45
Super built-up  Area,Malleshwaram,480,1,1,1,60
Super built-up  Area,Whitefield,1216,2,2,1,69.06
Super built-up  Area,Doddakallasandra,2493,3,3,1,115
Super built-up  Area,Malleshwaram,1290,2,2,1,120
Plot  Area,Banjara Layout,1200,5,5,2,96
Super built-up  Area,Electronic City,1156,2,2,2,42
Super built-up  Area,Thanisandra,1230,2,2,2,44
Super built-up  Area,Volagerekallahalli,1070,2,2,2,33.15
Plot  Area,Devanahalli,3753,2,2,1,177.115
Super built-up  Area,Ramagondanahalli,1235,2,2,1,49.3
Built-up  Area,6th block Koramangala,1117,2,2,1,110
Super built-up  Area,Kundalahalli,1724,3,3,2,124
Plot  Area,Jalahalli,1200,4,4,0,90
Super built-up  Area,Venkatadri Layout,600,1,1,1,43
Super built-up  Area,KR Puram,1930,3,2,2,57.9
Super built-up  Area,Whitefield,1216,2,2,1,75
Built-up  Area,KR Puram,1452,3,3,3,60
Super built-up  Area,Whitefield,1355,2,2,3,78
Built-up  Area,HMT Layout,7500,4,4,1,425
Super built-up  Area,Sarjapur  Road,2145,3,3,3,190
Super built-up  Area,Bommanahalli,957,2,2,1,53
Built-up  Area,Shantiniketan Layout,925,2,2,2,48
Super built-up  Area,Bellandur,1550,2,2,3,59
Plot  Area,Yelahanka New Town,4000,4,2,1,899
Plot  Area,Kanakpura Road,2100,3,3,2,140
Super built-up  Area,Bannerghatta Road,1115,2,2,1,61
Super built-up  Area,Yelahanka,1692,3,3,2,83
Super built-up  Area,Baba Nagar,1100,2,2,2,52
Super built-up  Area,Hormavu,1385,3,2,2,69
Super built-up  Area,Hosa Road,760,1,1,1,24.9
Super built-up  Area,Electronics City Phase 1,1335,2,2,2,67
Super built-up  Area,Bommanahalli,910,2,2,1,45
Super built-up  Area,Kanakpura Road,1610,3,2,2,55
Super built-up  Area,Hennur Road,1341,2,2,1,75.76
Plot  Area,Kurubarahalli,1200,3,3,0,70
Super built-up  Area,Uttarahalli,1285,3,2,2,44.98
Super built-up  Area,HAL 2nd Stage,2100,3,3,1,252
Super built-up  Area,Yeshwanthpur,1679,3,3,1,92.13
Built-up  Area,Puttappa Layout,2675,4,4,2,290
Built-up  Area,"Ananthanagar Phase 1,Electronic City , phase 2",1016,2,2,1,45.9
Built-up  Area,Banashankari Stage II,1500,4,2,0,650
Plot  Area,Palace Guttahalli,660,3,2,1,100
Super built-up  Area,Rajaji Nagar,2448,3,3,2,400
Super built-up  Area,Bellandur,924,2,2,2,35.11
Super built-up  Area,8th Phase JP Nagar,500,1,1,1,31
Super built-up  Area,Ngef Layout,1800,3,3,2,88
Super built-up  Area,Whitefield,1255,2,2,3,77
Super built-up  Area,Hennur Road,1040,2,2,2,50
Super built-up  Area,Kattigenahalli,1062,2,2,2,47
Super built-up  Area,Varthur Road,806,2,2,0,19.33
Super built-up  Area,Hosur Road,950,2,2,1,60
Super built-up  Area,Whitefield,1216,2,2,1,73
Super built-up  Area,HSR Layout,1300,2,2,2,98
Super built-up  Area,5th Phase JP Nagar,1390,2,2,2,65
Super built-up  Area,Yelahanka,1033,2,2,1,52.58
Super built-up  Area,Yelahanka,1390,2,2,2,65.31
Super built-up  Area,Jalahalli,1020,2,2,1,52
Super built-up  Area,Whitefield,709,1,1,0,34.735
Super built-up  Area,Whitefield,1140,2,2,2,45
Super built-up  Area,Yeshwanthpur,670,1,1,1,36.85
Super built-up  Area,Bhoganhalli,2171,4,4,2,111
Super built-up  Area,Bannerghatta Road,1136,2,2,1,48
Built-up  Area,Doddakannelli,1477,3,2,2,80
Super built-up  Area,KR Puram,1001,2,2,2,30
Super built-up  Area,Yelahanka,1040,2,2,1,48.86
Super built-up  Area,Garudachar Palya,1060,2,2,1,48.5
Super built-up  Area,Sarjapur,1240,2,2,1,44.3
Super built-up  Area,Byadarahalli,3500,4,5,1,450
Super built-up  Area,Doddabommasandra,42000,9,8,3,175
Super built-up  Area,Varthur,1070,2,2,2,46
Built-up  Area,Electronic City Phase II,1253,2,2,1,65.8
Super built-up  Area,Whitefield,1190,2,2,2,60
Super built-up  Area,Whitefield,1312,2,2,2,55
Built-up  Area,KR Puram,750,2,2,0,40
Built-up  Area,Koramangala,1615,3,3,2,115
Built-up  Area,Marathahalli,1095,2,2,1,60
Super built-up  Area,Whitefield,1745,3,3,3,100
Super built-up  Area,Rachenahalli,1050,2,2,2,52.5
Plot  Area,4th T block Jayanagar,2080,4,4,2,440
Super built-up  Area,Thanisandra,1220,2,2,1,44.6
Super built-up  Area,Kempegowda Nagar,1793,3,3,2,98
Super built-up  Area,Uttarahalli,1100,2,1,2,45
Super built-up  Area,Yelahanka New Town,1385,2,2,3,65
Super built-up  Area,Begur Road,1200,2,2,2,45
Super built-up  Area,Haralur Road,2017,3,2,2,125
Super built-up  Area,Attibele,400,1,1,1,10
Super built-up  Area,Bellandur,1400,3,2,2,44.81
Super built-up  Area,Bethel Nagar,960,2,2,1,33
Super built-up  Area,Uttarahalli,1125,2,2,1,47
Super built-up  Area,Akshaya Nagar,1551,3,2,2,60
Plot  Area,BTM Layout,600,4,4,2,122
Super built-up  Area,Vittasandra,1246,2,2,1,67.4
Built-up  Area,Whitefield,3200,4,4,3,224
Super built-up  Area,Marathahalli,1060,2,2,1,48
Super built-up  Area,Bharathi Nagar,1384,2,2,2,59
Super built-up  Area,Byagadadhenahalli,620,2,2,1,23
Super built-up  Area,Bommasandra,1005,2,2,1,39.77
Plot  Area,Sarakki Nagar,1200,3,3,2,128
Built-up  Area,Kirloskar Layout,1400,3,3,2,35
Super built-up  Area,HSR Layout,2400,3,3,3,88
Super built-up  Area,Whitefield,1096,2,2,1,39
Super built-up  Area,Kaggadasapura,1180,2,1,0,50
Super built-up  Area,Uttarahalli,1300,3,2,1,47
Plot  Area,tc.palya,1020,2,2,1,62
Plot  Area,Margondanahalli,600,2,2,0,35
Super built-up  Area,Dollar Scheme Colony,3563,4,6,1,310
Super built-up  Area,Konanakunte Cross,1165,2,2,2,47
Super built-up  Area,Bellandur,1685,3,3,3,100
Super built-up  Area,Raja Rajeshwari Nagar,1580,3,3,3,53.56
Super built-up  Area,Balagere,1210,2,2,1,83
Super built-up  Area,Kammasandra,1030,2,1,2,25.75
Built-up  Area,Nagappa Reddy Layout,1100,2,2,2,43.5
Super built-up  Area,Hebbal,1255,3,3,2,77.68
Super built-up  Area,Jakkur,1482,3,3,2,86
Super built-up  Area,Hebbal,1344,2,2,1,108
Super built-up  Area,Kothannur,1275,3,2,2,39.8
Plot  Area,Vidyaranyapura,462,3,3,1,38
Super built-up  Area,Omarbagh Layout,3300,4,5,3,318
Super built-up  Area,Panathur,1210,2,2,2,85
Super built-up  Area,Hebbal,1320,3,3,3,226
Super built-up  Area,Hosa Road,1532,3,3,2,98.13
Super built-up  Area,JP Nagar,1245,2,2,2,110
Super built-up  Area,Nagarbhavi,1212,2,2,1,50
Super built-up  Area,Sarjapur  Road,1230,2,2,1,65
Plot  Area,Indira Nagar,1000,5,5,2,180
Super built-up  Area,Ramagondanahalli,2257,3,3,2,159
Super built-up  Area,Vittasandra,1246,2,2,1,65.4
Super built-up  Area,Gunjur,1080,2,2,2,41
Plot  Area,Kannur,#VALUE!,6,6,3,75
Super built-up  Area,Varthur,1360,3,2,3,85
Super built-up  Area,Yelenahalli,1260,2,2,2,47.88
Built-up  Area,Kengeri Satellite Town,1200,4,3,0,110
Super built-up  Area,Thigalarapalya,1418,2,2,2,104
Plot  Area,anjananager magdi road,1200,3,3,1,165
Super built-up  Area,Kasavanhalli,950,2,2,1,39
Super built-up  Area,Nagarbhavi,1020,2,2,2,55
Super built-up  Area,Electronic City Phase II,1400,3,2,2,40.44
Plot  Area,Kodipalya,1440,4,4,0,88
Built-up  Area,Huskur,800,6,6,2,75
Super built-up  Area,KR Puram,1463,3,2,1,62.81
Super built-up  Area,Electronics City Phase 1,1175,2,2,1,69
Super built-up  Area,Raja Rajeshwari Nagar,1185,2,2,1,40.17
Super built-up  Area,Aishwarya Crystal Layout,2250,3,3,1,113
Super built-up  Area,Sarjapur  Road,1178,2,2,2,40.43
Super built-up  Area,Ulsoor,36000,4,4,2,450
Super built-up  Area,Whitefield,825,1,1,1,44.9
Super built-up  Area,Madiwala,1250,3,3,2,43
Super built-up  Area,Electronics City Phase 1,1113,2,2,2,55
Super built-up  Area,2nd Block Jayanagar,1718,3,3,3,223
Super built-up  Area,Gottigere,1010,2,2,1,35
Super built-up  Area,Kanakpura Road,900,2,2,1,41
Plot  Area,Syndicate Bank Colony,1500,4,4,3,240
Plot  Area,Rayasandra,540,1,1,1,16.5
Super built-up  Area,Electronic City,1020,2,2,2,29.46
Super built-up  Area,Hosur Road,1194,2,2,1,71.64
Plot  Area,Vijayanagar,1470,8,6,2,300
Plot  Area,2nd Stage Nagarbhavi,600,3,4,2,100
Super built-up  Area,Electronic City,1108,2,2,1,67.15
Built-up  Area,Hebbal,3895,4,2,1,451
Super built-up  Area,Kanakpura Road,700,2,2,1,34.99
Super built-up  Area,Somasundara Palya,1600,3,3,3,68
Super built-up  Area,Nagarbhavi,1850,3,3,2,90
Super built-up  Area,Tumkur Road,1250,2,2,2,33
Built-up  Area,Ramamurthy Nagar,600,1,1,1,43
Super built-up  Area,Raja Rajeshwari Nagar,1140,2,2,1,49.27
Super built-up  Area,CQAL Layout,1200,3,2,2,75
Super built-up  Area,Nayandanahalli,985,2,2,1,55
Super built-up  Area,Bellandur,982,2,2,2,55
Built-up  Area,9th Phase JP Nagar,600,1,1,0,20
Super built-up  Area,Old Madras Road,2640,3,5,1,142
Super built-up  Area,Akshaya Nagar,1314,2,2,2,68.8
Super built-up  Area,Vijaya Bank Layout,1700,3,2,2,68.5
Super built-up  Area,1st Phase JP Nagar,1077,2,2,2,93
Built-up  Area,Chandapura,1891,4,2,1,66.165
Super built-up  Area,Varanasi,2000,5,4,1,99
Super built-up  Area,DUO Layout,1643,3,3,2,75
Plot  Area,Kengeri,1200,3,3,1,67
Super built-up  Area,Whitefield,1116,2,2,1,51.91
Super built-up  Area,Abbigere,1020,2,2,1,41.82
Built-up  Area,Vittasandra,621,7,7,1,64
Built-up  Area,Daadys Gaarden Layout,1740,3,3,2,55
Super built-up  Area,GM Palaya,1225,2,2,2,47
Built-up  Area,Thanisandra,1241,3,2,1,61
Super built-up  Area,Hennur,1041,2,2,2,40.6
Super built-up  Area,Bommanahalli,1050,2,2,2,46
Super built-up  Area,Srinivas Colony,4400,3,3,1,901
Super built-up  Area,Kanakpura Road,1309,2,2,3,64.39
Super built-up  Area,Dodda Nekkundi,1128,2,2,2,45
Super built-up  Area,Raja Rajeshwari Nagar,1430,3,2,1,50
Super built-up  Area,Old Madras Road,1065,2,2,1,47.86
Super built-up  Area,OMBR Layout,1085,2,2,1,64
Plot  Area,Vishveshwarya Layout,750,1,1,1,30
Super built-up  Area,Bellandur,981,2,2,2,37.28
Carpet  Area,Bhoganhalli,1548,4,4,1,129
Super built-up  Area,Hebbal Kempapura,2302,4,4,2,300
Built-up  Area,Kalyan nagar,1410,3,2,2,60
Super built-up  Area,Hosa Road,1526,3,3,1,117
Super built-up  Area,Begur Road,1200,2,2,2,42.6
Built-up  Area,Sampangi Rama Nagar,1030,2,2,2,80
Super built-up  Area,BTM 1st Stage,1852,3,2,1,95
Built-up  Area,Electronic City,1160,2,2,1,33.5
Built-up  Area,Jigani,918,2,2,1,49
Super built-up  Area,Hebbal,1255,3,2,1,90
Plot  Area,HRBR Layout,1200,6,6,3,250
Built-up  Area,JP Nagar,1150,3,2,2,49.9
Super built-up  Area,Indira Nagar,2700,3,3,1,324
Built-up  Area,Moodalapalya,1150,2,2,2,69
Super built-up  Area,Whitefield,1227,2,2,2,53.49
Super built-up  Area,Hebbal,1255,3,3,2,77.68
Plot  Area,Moodalapalya,840,6,8,0,120
Super built-up  Area,Panathur,1198,2,2,1,82
Plot  Area, Devarachikkanahalli,1200,3,3,1,160
Built-up  Area,Frazer Town,#VALUE!,3,3,1,180
Built-up  Area,Nelamangala,2600,4,3,1,95
Super built-up  Area,Thigalarapalya,2072,3,4,2,139
Super built-up  Area,Pattandur Agrahara,797,2,2,1,32
Built-up  Area,Nayandanahalli,1350,3,2,3,68
Built-up  Area,Sahakara Nagar,2500,4,4,1,200
Super built-up  Area,Thigalarapalya,2215,3,4,2,160
Super built-up  Area,Kanakpura Road,525,1,1,1,30
Super built-up  Area,Bannerghatta Road,2700,4,4,3,260
Super built-up  Area,Gokaula Extension,1500,3,2,1,90
Plot  Area,Subash Nagar,900,2,2,0,55
Super built-up  Area,Poorna Pragna Layout,1355,3,2,3,58.27
Super built-up  Area,Kudlu Gate,1465,3,2,2,49.81
Plot  Area,Ramamurthy Nagar,1006,2,2,1,57
Built-up  Area,Vishveshwarya Layout,2000,4,4,1,75
Super built-up  Area,Electronic City,1128,2,2,1,65.7
Built-up  Area,Pattanagere,850,2,2,0,35
Super built-up  Area,ISRO Layout,1310,3,2,3,68
Super built-up  Area,Banashankari,1390,2,2,2,86
Super built-up  Area,Kathriguppe,1390,3,2,2,76.45
Plot  Area,Marathahalli,2396,4,4,2,325
Super built-up  Area,Electronic City,1170,2,2,1,33
Super built-up  Area,Gottigere,1385,3,2,2,50
Super built-up  Area,Old Madras Road,1160,2,2,1,42
Super built-up  Area,Electronic City Phase II,1160,2,2,1,33.5
Super built-up  Area,Bannerghatta Road,1200,3,2,2,69
Super built-up  Area,Mahadevpura,1475,2,2,2,55
Built-up  Area,Sarjapur  Road,1939,3,3,0,98
Built-up  Area,7th Phase JP Nagar,850,2,2,2,42
Built-up  Area,Balagere,675,1,1,1,45
Built-up  Area,Electronic City,1060,2,2,1,51
Super built-up  Area,Whitefield,1235,2,2,2,47
Plot  Area,RTO ullalu,600,2,4,1,110
Super built-up  Area,Austin Town,1250,2,2,1,60
Super built-up  Area,Banashankari,1460,2,2,3,70
Super built-up  Area,Akshaya Nagar,1690,3,3,2,85
Built-up  Area,Indira Nagar,850,1,1,2,57
Super built-up  Area,Kanakpura Road,1843,3,3,2,82
Built-up  Area,7th Phase JP Nagar,1680,3,3,2,117
Super built-up  Area,Kundalahalli,1047,2,2,1,84
Super built-up  Area,8th Phase JP Nagar,1100,2,2,2,35
Plot  Area,Indira Nagar,3250,8,8,1,600
Super built-up  Area,Nagarbhavi,1120,2,2,3,53
Super built-up  Area,Raja Rajeshwari Nagar,1095,2,2,2,38.33
Super built-up  Area,Carmelaram,970,2,2,2,35
Plot  Area,Bommanahalli,1200,5,7,2,125
Built-up  Area,Hosa Road,1100,3,2,3,85
Super built-up  Area,Uttarahalli,1685,3,3,2,85
Built-up  Area,Doddanekundi,1148,2,2,1,59
Built-up  Area,Marathahalli,1050,2,2,1,65
Super built-up  Area,Bannerghatta Road,1465,3,2,1,76
Plot  Area,Kothanur,3401,4,5,1,230
Built-up  Area,Electronic City,630,1,1,1,60
Super built-up  Area,7th Phase JP Nagar,1850,3,3,1,150
Plot  Area,Vidyaranyapura,1200,9,9,1,175
Built-up  Area,Cottonpet,1750,4,2,1,225
Built-up  Area,Shikaripalya,1350,3,3,1,60
Super built-up  Area,Sector 7 HSR Layout,1760,3,3,2,160
Super built-up  Area,Rajaji Nagar,1440,2,2,2,185
Super built-up  Area,Banashankari Stage III,1200,2,2,0,42
Built-up  Area,Hennur Bande,1100,2,2,1,78
Built-up  Area,Kaggadasapura,1140,2,2,2,46
Super built-up  Area,Hormavu,1618,3,3,0,73.595
Super built-up  Area,Gottigere,1410,2,2,2,45
Super built-up  Area,Mahadevpura,1434,3,2,1,67.39
Plot  Area,"ravindra nagar, T.dasarahalli peenya",1180,2,2,2,74
Super built-up  Area,Begur Road,1160,2,2,2,42
Super built-up  Area,EPIP Zone,1343,2,2,2,86
Built-up  Area,LB Shastri Nagar,1184,2,2,1,69
Super built-up  Area,Koramangala,2246,3,3,0,300
Built-up  Area,Rajankunte,4510,3,4,3,200
Super built-up  Area,Banashankari Stage III,1305,3,2,1,59
Super built-up  Area,Sarjapur  Road,3785,4,5,1,280
Super built-up  Area,1st Block BEL Layout,1540,3,3,2,85
Super built-up  Area,Kanakpura Road,1550,3,3,3,65.11
Super built-up  Area,Yelahanka,1345,3,2,1,57
Super built-up  Area,Electronic City Phase II,975,3,2,2,45
Super built-up  Area,HSR Layout,1140,2,2,2,46
Super built-up  Area,JP Nagar,1152,2,2,1,34.56
Built-up  Area,Old Airport Road,3200,4,4,2,700
Super built-up  Area,Kodathi,1033,3,2,2,31.5
Super built-up  Area,Richards Town,1800,3,3,0,230
Super built-up  Area,Marathahalli,1102,2,2,2,53.67
Super built-up  Area,Subramanyapura,1223,3,2,2,42.81
Super built-up  Area,Kadugodi,1762,3,3,3,112
Built-up  Area,Kengeri Satellite Town,560,2,2,1,16.6
Built-up  Area,KR Puram,2000,6,6,0,85
Super built-up  Area,Electronic City,1410,3,2,2,38
Super built-up  Area,Thanisandra,1853,3,3,1,64.86
Super built-up  Area,Kothanur,1455,2,2,1,69
Super built-up  Area,Hebbal,1138,2,2,1,110
Built-up  Area,Sarjapur  Road,2556,3,3,2,169
Super built-up  Area,TC Palaya,1200,3,2,0,66.5
Super built-up  Area,Anantapura,1200,2,2,2,37
Super built-up  Area,Thanisandra,#VALUE!,3,4,2,185
Plot  Area,Anekal,1200,2,1,1,36
Super built-up  Area,Whitefield,1870,3,3,2,138
Super built-up  Area,Panathur,1199,2,2,1,86
Plot  Area,Prakruthi Township,800,6,8,1,150
Super built-up  Area,Doddakallasandra,1360,3,2,2,54.4
Super built-up  Area,Babusapalaya,1230,3,3,3,53
Super built-up  Area,Hosahalli Extension,2000,3,3,2,120
Plot  Area,Kasturi Nagar,1200,4,4,2,250
Super built-up  Area,Kundalahalli,1047,2,2,1,83
Plot  Area,Electronic City Phase II,6000,4,4,1,260
Plot  Area,Ramamurthy Nagar,1200,2,2,1,76
Super built-up  Area,Kengeri Satellite Town,1303,2,2,0,44.285
Super built-up  Area,Kengeri,725,2,2,1,30
Super built-up  Area,Jakkur,1645,3,3,1,100
Built-up  Area,Sultan Palaya,870,2,2,1,65
Super built-up  Area,Marathahalli,1026,2,2,1,49.95
Built-up  Area,Bennigana Halli,2000,3,3,1,145
Super built-up  Area,Cooke Town,1710,2,2,2,200
Super built-up  Area,Hosur Road,1766,3,3,1,130
Super built-up  Area,Makali,500,1,1,1,15
Built-up  Area,JP Nagar,1100,2,1,1,15
Super built-up  Area,Jigani,1221,3,3,3,52
Super built-up  Area,Rachenahalli,680,1,1,1,46
Super built-up  Area,Sarjapur  Road,1278,2,2,2,90
Super built-up  Area,Kodichikkanahalli,1025,2,2,2,66
Super built-up  Area,Whitefield,1175,2,2,1,39
Super built-up  Area,Sarjapur  Road,975,2,2,0,28.275
Built-up  Area,6th Phase JP Nagar,600,1,1,1,75
Super built-up  Area,Seethappa Layout,850,2,2,1,42
Super built-up  Area,Anjanapura,710,2,2,0,25
Built-up  Area,Huskur,1165,2,2,1,33.64
Super built-up  Area,Sarjapur,625,1,1,1,19
Super built-up  Area,Kaggadasapura,1340,3,3,1,66
Super built-up  Area,Ananth Nagar,937,2,2,1,35
Plot  Area,Lakkasandra,1500,7,6,0,210
Super built-up  Area,JP Nagar,750,1,1,1,52.5
Built-up  Area,Judicial Layout,#VALUE!,5,6,3,400
Built-up  Area,Shampura,1475,3,3,3,78
Plot  Area,Singapura Village,2230,4,4,1,130
Plot  Area,Jnanabharathi Layout,2200,4,5,1,100
Plot  Area,Mysore Road,900,2,2,0,65
Super built-up  Area,Electronic City Phase II,1116,2,2,2,37
Built-up  Area,Hoodi,948,2,2,1,75
Super built-up  Area,R.T. Nagar,970,2,2,1,55
Super built-up  Area,Akshayanagara East,1519,3,3,2,67.23
Super built-up  Area,Thanisandra,1200,3,2,1,65
Super built-up  Area,Bhoganhalli,1760,3,3,2,127
Plot  Area,Whitefield,4400,4,5,3,525
Super built-up  Area,Sahakara Nagar,1914,3,3,3,179
Super built-up  Area,Budigere,1820,3,3,2,85.5
Super built-up  Area,Budigere,1820,3,3,2,93
Built-up  Area,Kalena Agrahara,1565,3,3,2,78
Super built-up  Area,Begur Road,1334,2,2,3,42.69
Super built-up  Area,Sarakki Nagar,924,2,2,2,76.23
Super built-up  Area,Jigani,914,2,2,2,49
Built-up  Area,Kengeri,500,1,1,1,17
Super built-up  Area,Yelahanka,2145,3,3,3,125
Plot  Area,Yelahanka,1200,5,5,1,162
Built-up  Area,Electronic City,1650,3,3,2,100
Super built-up  Area,Marathahalli,3940,4,4,3,220
Built-up  Area,Electronic City,1020,2,2,1,29.45
Built-up  Area,Basaveshwara Nagar,1180,2,2,3,58
Super built-up  Area,Ulsoor,1255,2,2,3,120
Super built-up  Area,Langford Gardens,2777,3,5,2,650
Super built-up  Area,Bommasandra,1014,2,2,1,35
Built-up  Area,Shampura,920,4,2,0,90
Super built-up  Area,Attibele,695,2,1,1,25
Plot  Area,Prithvi Layout,2273,3,4,3,220
Super built-up  Area,GM Palaya,1140,2,2,2,48.95
Built-up  Area,Giri Nagar,3000,6,4,1,375
Super built-up  Area,Whitefield,1180,2,2,2,41
Super built-up  Area,Begur Road,2400,4,4,2,152
Super built-up  Area,Attibele,850,2,1,1,25
Super built-up  Area,Banashankari,1200,2,2,1,60
Built-up  Area,"Bellandur, ",3160,4,4,3,206
Super built-up  Area,Hoodi,1769,3,3,3,96.87
Plot  Area,Jigani,#VALUE!,4,3,2,160
Carpet  Area,Bhoganhalli,1554,4,4,1,131
Super built-up  Area,Haralur Road,1243,2,2,2,46
Plot  Area,2nd Block Jayanagar,4920,4,5,2,1150
Super built-up  Area,Mallasandra,905,2,2,1,40
Built-up  Area,Kothanur,627,1,1,1,30
Built-up  Area,Domlur,2180,3,3,2,285
